taxonKey;scientificName;acceptedTaxonKey;acceptedScientificName;numberOfOccurrences;taxonRank;taxonomicStatus;kingdom;kingdomKey;phylum;phylumKey;class;classKey;order;orderKey;family;familyKey;genus;genusKey;species;speciesKey;iucnRedListCategory
9300893;Ammonastes pelzelni (P.L.Sclater, 1890);2490162;Myrmeciza pelzelni P.L.Sclater, 1890;312;SPECIES;SYNONYM;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thamnophilidae;5286;Myrmeciza;2490145;Myrmeciza pelzelni;2490162;LC
11039377;Hypsipetes chloris (Finsch, 1867);9201985;Thapsinillas longirostris chloris (Finsch, 1867);958;SPECIES;SYNONYM;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Pycnonotidae;5277;Thapsinillas;4845729;Thapsinillas longirostris;6100815;LC
11272186;Grallaria occabambae (Chapman, 1923);6089204;Grallaria rufula occabambae (Chapman, 1923);1330;SPECIES;SYNONYM;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Grallariidae;6101110;Grallaria;2490516;Grallaria rufula;2490533;NE
2473901;Pternistis nobilis (Reichenow, 1908);2473901;Pternistis nobilis (Reichenow, 1908);729;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Galliformes;723;Phasianidae;9331;Pternistis;8128058;Pternistis nobilis;2473901;LC
2475696;Todiramphus funebris Bonaparte, 1850;2475696;Todiramphus funebris Bonaparte, 1850;451;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Coraciiformes;1447;Alcedinidae;2984;Todiramphus;2475686;Todiramphus funebris;2475696;VU
2477120;Telacanthura melanopygia (Chapin, 1915);2477120;Telacanthura melanopygia (Chapin, 1915);359;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Apodidae;2993;Telacanthura;2477119;Telacanthura melanopygia;2477120;LC
2477288;Cypseloides senex (Temminck, 1826);2477288;Cypseloides senex (Temminck, 1826);6369;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Apodidae;2993;Cypseloides;2477279;Cypseloides senex;2477288;LC
2479046;Capito hypoleucus Salvin, 1897;2479046;Capito hypoleucus Salvin, 1897;4317;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Piciformes;724;Capitonidae;3242201;Capito;2479028;Capito hypoleucus;2479046;VU
2481816;Gallinago jamesoni (Jardine & Bonaparte, 1855);2481816;Gallinago jamesoni (Jardine & Bonaparte, 1855);1099;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Charadriiformes;7192402;Scolopacidae;5282;Gallinago;2481808;Gallinago jamesoni;2481816;LC
2484566;Melanocharis versteri (Finsch, 1876);2484566;Melanocharis versteri (Finsch, 1876);1960;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Melanocharitidae;5252;Melanocharis;2484565;Melanocharis versteri;2484566;LC
2486880;Lichenostomus cratitius (Gould, 1841);2486880;Lichenostomus cratitius (Gould, 1841);3299;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Meliphagidae;9319;Lichenostomus;2486879;Lichenostomus cratitius;2486880;LC
2486982;Moho braccatus Cassin, 1855;2486982;Moho braccatus Cassin, 1855;7;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Mohoidae;5788943;Moho;2486981;Moho braccatus;2486982;EX
2490010;Hypocnemoides melanopogon (P.L.Sclater, 1857);2490010;Hypocnemoides melanopogon (P.L.Sclater, 1857);3810;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thamnophilidae;5286;Hypocnemoides;2490008;Hypocnemoides melanopogon;2490010;LC
